rcv 	0.40	A	2001	0	1107
rcv 	0.40	A	2001	0	1108
snd 	0.40	D	1206	1	2001
snd 	0.40	D	1207	1	2001
rcv 	0.41	A	2001	0	1109
snd 	0.41	D	1208	1	2001
rcv 	0.42	A	2001	0	1110
rcv 	0.42	A	2001	0	1111
rcv 	0.42	A	2001	0	1112
rcv 	0.42	A	2001	0	1113
rcv 	0.42	A	2001	0	1114
snd 	0.42	D	1209	1	2001
snd 	0.42	D	1210	1	2001
snd 	0.42	D	1211	1	2001
snd 	0.42	D	1212	1	2001
snd 	0.42	D	1213	1	2001
rcv 	0.42	A	2001	0	1115
rcv 	0.42	A	2001	0	1116
rcv 	0.42	A	2001	0	1117
snd 	0.42	D	1214	1	2001
snd 	0.42	D	1215	1	2001
snd 	0.42	D	1216	1	2001
snd 	0.43	D	1117	1	2001
snd 	0.44	D	1117	1	2001
snd 	0.45	D	1117	1	2001
snd 	0.46	D	1117	1	2001
snd 	0.47	D	1117	1	2001
snd 	0.48	D	1117	1	2001
snd 	0.50	D	1117	1	2001
snd 	0.51	D	1117	1	2001
snd 	0.52	D	1117	1	2001
snd 	0.53	D	1117	1	2001
snd 	0.54	D	1117	1	2001
snd 	0.55	D	1117	1	2001
snd 	0.56	D	1117	1	2001
snd 	0.57	D	1117	1	2001
snd 	0.58	D	1117	1	2001
snd 	0.59	D	1117	1	2001
snd 	0.60	D	1117	1	2001
snd 	0.61	D	1117	1	2001
snd 	0.62	D	1117	1	2001
snd 	0.63	D	1117	1	2001
snd 	0.64	D	1117	1	2001
snd 	0.66	D	1117	1	2001
rcv 	0.66	A	2001	0	1118
snd 	0.66	D	1217	1	2001
rcv 	0.66	A	2001	0	1119
snd 	0.66	D	1218	1	2001
rcv 	0.66	A	2001	0	1120
snd 	0.66	D	1219	1	2001
rcv 	0.67	A	2001	0	1121
rcv 	0.67	A	2001	0	1122
rcv 	0.67	A	2001	0	1123
rcv 	0.67	A	2001	0	1124
rcv 	0.67	A	2001	0	1125
rcv 	0.67	A	2001	0	1126
rcv 	0.67	A	2001	0	1127
rcv 	0.67	A	2001	0	1128
rcv 	0.67	A	2001	0	1129
rcv 	0.67	A	2001	0	1130
rcv 	0.67	A	2001	0	1131
rcv 	0.67	A	2001	0	1132
rcv 	0.67	A	2001	0	1133
rcv 	0.67	A	2001	0	1134
rcv 	0.67	A	2001	0	1135
rcv 	0.67	A	2001	0	1136
rcv 	0.67	A	2001	0	1137
rcv 	0.67	A	2001	0	1138
rcv 	0.67	A	2001	0	1139
rcv 	0.67	A	2001	0	1140
rcv 	0.67	A	2001	0	1141
rcv 	0.67	A	2001	0	1142
rcv 	0.67	A	2001	0	1143
rcv 	0.67	A	2001	0	1144
rcv 	0.67	A	2001	0	1145
rcv 	0.67	A	2001	0	1146
rcv 	0.67	A	2001	0	1147
rcv 	0.67	A	2001	0	1147
rcv 	0.67	A	2001	0	1147
snd 	0.67	D	1220	1	2001
snd 	0.67	D	1221	1	2001
snd 	0.67	D	1222	1	2001
snd 	0.67	D	1223	1	2001
snd 	0.67	D	1224	1	2001
snd 	0.67	D	1225	1	2001
snd 	0.67	D	1226	1	2001
snd 	0.67	D	1227	1	2001
snd 	0.67	D	1228	1	2001
snd 	0.67	D	1229	1	2001
snd 	0.67	D	1230	1	2001
snd 	0.67	D	1231	1	2001
snd 	0.67	D	1232	1	2001
snd 	0.67	D	1233	1	2001
snd 	0.67	D	1234	1	2001
snd 	0.67	D	1235	1	2001
snd 	0.67	D	1236	1	2001
snd 	0.67	D	1237	1	2001
snd 	0.67	D	1238	1	2001
snd 	0.67	D	1239	1	2001
snd 	0.67	D	1240	1	2001
snd 	0.67	D	1241	1	2001
snd 	0.67	D	1242	1	2001
snd 	0.67	D	1243	1	2001
snd 	0.67	D	1244	1	2001
snd 	0.67	D	1245	1	2001
snd 	0.67	D	1246	1	2001
rcv 	0.67	A	2001	0	1147
snd 	0.68	D	1147	1	2001
rcv 	0.69	A	2001	0	1147
rcv 	0.69	A	2001	0	1147
rcv 	0.69	A	2001	0	1147
snd 	0.69	D	1147	1	2001
rcv 	0.69	A	2001	0	1147
rcv 	0.69	A	2001	0	1147
rcv 	0.69	A	2001	0	1147
snd 	0.69	D	1147	1	2001
rcv 	0.69	A	2001	0	1148
snd 	0.69	D	1247	1	2001
rcv 	0.70	A	2001	0	1149
snd 	0.70	D	1248	1	2001
rcv 	0.70	A	2001	0	1150
snd 	0.70	D	1249	1	2001
rcv 	0.70	A	2001	0	1151
snd 	0.70	D	1250	1	2001
rcv 	0.70	A	2001	0	1152
snd 	0.70	D	1251	1	2001
rcv 	0.70	A	2001	0	1153
snd 	0.70	D	1252	1	2001
rcv 	0.70	A	2001	0	1154
snd 	0.70	D	1253	1	2001
rcv 	0.70	A	2001	0	1155
snd 	0.70	D	1254	1	2001
rcv 	0.71	A	2001	0	1156
rcv 	0.71	A	2001	0	1157
rcv 	0.71	A	2001	0	1158
rcv 	0.71	A	2001	0	1159
rcv 	0.71	A	2001	0	1160
rcv 	0.71	A	2001	0	1161
rcv 	0.71	A	2001	0	1162
rcv 	0.71	A	2001	0	1163
rcv 	0.71	A	2001	0	1164
rcv 	0.71	A	2001	0	1165
rcv 	0.71	A	2001	0	1166
rcv 	0.71	A	2001	0	1167
rcv 	0.71	A	2001	0	1168
rcv 	0.71	A	2001	0	1169
rcv 	0.71	A	2001	0	1170
rcv 	0.71	A	2001	0	1171
rcv 	0.71	A	2001	0	1172
rcv 	0.71	A	2001	0	1173
rcv 	0.71	A	2001	0	1174
rcv 	0.71	A	2001	0	1175
rcv 	0.71	A	2001	0	1176
rcv 	0.71	A	2001	0	1177
rcv 	0.71	A	2001	0	1178
rcv 	0.71	A	2001	0	1179
rcv 	0.71	A	2001	0	1180
rcv 	0.71	A	2001	0	1181
rcv 	0.71	A	2001	0	1182
rcv 	0.71	A	2001	0	1183
rcv 	0.71	A	2001	0	1184
rcv 	0.71	A	2001	0	1185
rcv 	0.71	A	2001	0	1186
rcv 	0.71	A	2001	0	1187
rcv 	0.71	A	2001	0	1188
rcv 	0.71	A	2001	0	1189
rcv 	0.71	A	2001	0	1190
rcv 	0.71	A	2001	0	1190
rcv 	0.71	A	2001	0	1190
rcv 	0.71	A	2001	0	1190
snd 	0.71	D	1190	1	2001
rcv 	0.71	A	2001	0	1190
rcv 	0.71	A	2001	0	1190
rcv 	0.71	A	2001	0	1190
snd 	0.71	D	1190	1	2001
rcv 	0.72	A	2001	0	1190
rcv 	0.72	A	2001	0	1190
rcv 	0.72	A	2001	0	1190
snd 	0.72	D	1190	1	2001
rcv 	0.72	A	2001	0	1190
rcv 	0.72	A	2001	0	1191
rcv 	0.72	A	2001	0	1192
rcv 	0.72	A	2001	0	1193
snd 	0.72	D	1255	1	2001
snd 	0.72	D	1256	1	2001
snd 	0.72	D	1257	1	2001
snd 	0.72	D	1258	1	2001
snd 	0.72	D	1259	1	2001
snd 	0.72	D	1260	1	2001
snd 	0.72	D	1261	1	2001
snd 	0.72	D	1262	1	2001
snd 	0.72	D	1263	1	2001
snd 	0.72	D	1264	1	2001
snd 	0.72	D	1265	1	2001
snd 	0.72	D	1266	1	2001
snd 	0.72	D	1267	1	2001
snd 	0.72	D	1268	1	2001
snd 	0.72	D	1269	1	2001
snd 	0.72	D	1270	1	2001
snd 	0.72	D	1271	1	2001
snd 	0.72	D	1272	1	2001
snd 	0.72	D	1273	1	2001
snd 	0.72	D	1274	1	2001
snd 	0.72	D	1275	1	2001
snd 	0.72	D	1276	1	2001
snd 	0.72	D	1277	1	2001
snd 	0.72	D	1278	1	2001
snd 	0.72	D	1279	1	2001
snd 	0.72	D	1280	1	2001
snd 	0.72	D	1281	1	2001
snd 	0.72	D	1282	1	2001
snd 	0.72	D	1283	1	2001
snd 	0.72	D	1284	1	2001
snd 	0.72	D	1285	1	2001
snd 	0.72	D	1286	1	2001
snd 	0.72	D	1287	1	2001
snd 	0.72	D	1288	1	2001
snd 	0.72	D	1289	1	2001
snd 	0.72	D	1290	1	2001
snd 	0.72	D	1291	1	2001
snd 	0.72	D	1292	1	2001
rcv 	0.73	A	2001	0	1194
rcv 	0.73	A	2001	0	1195
rcv 	0.73	A	2001	0	1196
rcv 	0.73	A	2001	0	1197
rcv 	0.73	A	2001	0	1198
rcv 	0.73	A	2001	0	1199
rcv 	0.73	A	2001	0	1200
rcv 	0.73	A	2001	0	1201
rcv 	0.73	A	2001	0	1202
rcv 	0.73	A	2001	0	1203
rcv 	0.73	A	2001	0	1203
snd 	0.73	D	1293	1	2001
snd 	0.73	D	1294	1	2001
snd 	0.73	D	1295	1	2001
snd 	0.73	D	1296	1	2001
snd 	0.73	D	1297	1	2001
snd 	0.73	D	1298	1	2001
snd 	0.73	D	1299	1	2001
snd 	0.73	D	1300	1	2001
snd 	0.73	D	1301	1	2001
snd 	0.73	D	1302	1	2001
rcv 	0.73	A	2001	0	1204
rcv 	0.73	A	2001	0	1205
rcv 	0.73	A	2001	0	1206
rcv 	0.73	A	2001	0	1207
rcv 	0.73	A	2001	0	1208
rcv 	0.73	A	2001	0	1209
